"","Ticker","Report.Date","Currency","Revenue","Cost.of.Revenue","Gross.Profit","Operating.Expenses","Selling..General...Administrative","Research...Development","Depreciation...Amortization.x","Operating.Income..Loss.","Non.Operating.Income..Loss.","Interest.Expense..Net","Pretax.Income..Loss...Adj.","Abnormal.Gains..Losses.","Pretax.Income..Loss.","Income.Tax..Expense..Benefit..Net","Income..Loss..from.Continuing.Operations","Net.Extraordinary.Gains..Losses.","Net.Income","Net.Income..Common.","Net.Income.Starting.Line","Non.Cash.Items","Change.in.Working.Capital","Change.in.Accounts.Receivable","Change.in.Inventories","Change.in.Accounts.Payable","Change.in.Other","Net.Cash.from.Operating.Activities","Change.in.Fixed.Assets...Intangibles","Net.Change.in.Long.Term.Investment","Net.Cash.from.Acquisitions...Divestitures","Net.Cash.from.Investing.Activities","Dividends.Paid","Cash.from..Repayment.of..Debt","Cash.from..Repurchase.of..Equity","Net.Cash.from.Financing.Activities","Net.Change.in.Cash","SimFinId","Fiscal.Year","Fiscal.Period","Publish.Date","Restated.Date","Shares..Basic.","Shares..Diluted.","Cash..Cash.Equivalents...Short.Term.Investments","Accounts...Notes.Receivable","Inventories","Total.Current.Assets","Property..Plant...Equipment..Net","Long.Term.Investments...Receivables","Other.Long.Term.Assets","Total.Noncurrent.Assets","Total.Assets","Payables...Accruals","Short.Term.Debt","Total.Current.Liabilities","Long.Term.Debt","Total.Noncurrent.Liabilities","Total.Liabilities","Share.Capital...Additional.Paid.In.Capital","Treasury.Stock","Retained.Earnings","Total.Equity","Total.Liabilities...Equity","Company.Name","IndustryId"
"11929","PPL","2018-12-31","USD",7.785e+09,-1.544e+09,6.241e+09,-3.389e+09,-1.983e+09,NA,-1.094e+09,2.852e+09,-5.67e+08,-9.63e+08,2.285e+09,NA,2.285e+09,-4.58e+08,1.827e+09,NA,1.827e+09,1.827e+09,1.827e+09,-2.55e+08,7.7e+07,NA,NA,NA,NA,2.821e+09,-3.238e+09,-6.5e+07,NA,-3.361e+09,-1.133e+09,1.145e+09,6.98e+08,6.9e+08,2.64e+08,26853,2018,"Q4","2019-02-14","2019-02-14",720506000,727661000,6.21e+08,6.63e+08,3.03e+08,2.432e+09,3.4458e+10,NA,6.506e+09,4.0964e+10,4.3396e+10,1.673e+09,1.96e+09,4.563e+09,2.0069e+10,2.7176e+10,3.1739e+10,1.1028e+10,NA,4.593e+09,1.1657e+10,4.3396e+10,"PPL Corp",105001
"11938","PPSI","2018-12-31","USD",106390000,-87139000,19251000,-21124000,-21124000,NA,NA,-1873000,-3488000,-2662000,-5361000,NA,-5361000,-303000,-5664000,NA,-5664000,-5664000,-5664000,1782000,3353000,NA,NA,NA,NA,2153000,173000,NA,NA,173000,NA,-2980000,NA,-3412000,-7000,88673,2018,"Q4","2019-03-29","2019-08-14",8726000,8718000,2e+05,3384000,3678000,46924000,878000,NA,24709000,25587000,72511000,9124000,21929000,52415000,2619000,8145000,60560000,23975000,NA,-6127000,11951000,72511000,"PIONEER POWER SOLUTIONS, INC.",101001
"11946","PRCP","2018-06-30","USD",84693000,-52693000,3.2e+07,-26449000,-18469000,-7980000,NA,5551000,-459000,-181000,5092000,-603000,4489000,-773000,3716000,NA,3716000,3716000,3716000,530000,-2658000,NA,NA,NA,NA,3864000,-1153000,NA,NA,-407000,NA,-1715000,489000,-1245000,2126000,210612,2018,"Q4","2018-08-30","2018-08-30",9393000,9526000,6707000,31797000,13829000,54006000,6613000,725000,12860000,20198000,74204000,15771000,175000,25838000,NA,2768000,28606000,48206000,NA,-510000,45598000,74204000,"PERCEPTRON INC/MI",101001
"11968","PRGS","2018-11-30","USD",397165000,-66973000,330192000,-235066000,-142086000,-79739000,-13241000,95126000,-7018000,-5149000,88108000,-9128000,78980000,-15489000,63491000,NA,63491000,63491000,63491000,28403000,-15044000,NA,NA,NA,NA,121352000,-7250000,14843000,0,7593000,-25789000,-6188000,-110795000,-146771000,-28338000,748103,2018,"Q4","2019-01-28","2019-01-28",45054000,45401000,139513000,58450000,NA,228819000,30714000,NA,381076000,411790000,640609000,57005000,5819000,196018000,110270000,134509000,330527000,267053000,NA,71242000,310082000,640609000,"PROGRESS SOFTWARE CORP /MA",101003
"11975","PRKA","2018-09-30","USD",6046758,-672777,5373981,-3630981,-3205334,NA,-425647,1743000,-157624,-177828,1585376,-162784,1422592,-411400,1011192,NA,1011192,1011192,1011192,182155,148249,NA,NA,NA,NA,1767243,-609935,NA,NA,-609935,NA,-1671411,NA,-1687091,-529783,954543,2018,"Q4","2018-12-14","2019-08-06",74719000,74719000,2674260,NA,240004,3046120,6614835,NA,13450,6628285,9674405,92237,195198,506878,1358027,1358027,1864905,4911837,-3250,2900913,7809500,9674405,"PARKS AMERICA, INC",NA
"11984","PRLB","2018-12-31","USD",445596000,-206917000,238679000,-149781000,-121046000,-28735000,NA,88898000,2757000,NA,91655000,NA,91655000,-15067000,76588000,NA,76588000,76588000,76588000,21948000,-2361000,NA,NA,NA,NA,122929000,-87104000,65013000,194000,-63281000,NA,-5e+06,-5438000,-10438000,48339000,341185,2018,"Q4","2019-02-22","2019-02-22",27039493,27305397,131796000,59155000,10087000,215362000,228001000,23579000,152043000,403623000,618985000,52734000,0,52734000,NA,24754000,77488000,258529000,NA,291460000,541497000,618985000,"Proto Labs Inc",100001
"11998","PRSC","2018-12-31","USD",1384965000,-1284603000,100362000,-61911000,-46098000,NA,-15813000,38451000,-7941000,-1783000,30510000,-7598000,22912000,-4684000,18228000,-37053000,-18981000,-18981000,-18825000,39373000,-40326000,NA,NA,NA,NA,7899000,-17521000,NA,-30931000,-45322000,-4413000,0,-43675000,-51555000,-89239000,492538,2018,"Q4","2019-02-08","2019-05-09",12863500,12998320,5678000,147756000,NA,210980000,22965000,161503000,174197000,358665000,569645000,138346000,718000,165932000,353000,15323000,181255000,334762000,-210891000,187127000,388390000,569645000,"PROVIDENCE SERVICE CORP",106011
"12007","PRTS","2018-12-31","USD",289467000,-210746000,78721000,-62417000,-58044000,NA,-185000,16304000,-211000,-1598000,16093000,-21310000,-5217000,329000,-4888000,NA,-4888000,-4888000,-4889000,3168000,1914000,NA,NA,NA,NA,6180000,-5688000,NA,NA,-5688000,-161000,-598000,6000,-1283000,-818000,675964,2018,"Q4","2019-03-13","2019-03-13",34988000,31743000,2032000,3727000,49626000,58785000,15184000,NA,23996000,39180000,97965000,44286000,594000,48319000,8559000,10824000,59143000,183177000,-7146000,-137791000,38822000,97965000,"U.S. Auto Parts Network, Inc.",103002
"12015","PRTX","2018-05-31","USD",0,NA,0,-3776260,-1495415,-2279825,-1020,-3776260,-611544,-611544,-4387804,-648379,-5036183,0,-5036183,NA,-5036183,-5036183,-5036183,1006627,115144,NA,NA,NA,NA,-3913392,NA,NA,NA,536420,NA,3445000,NA,3445000,68028,95453,2018,"Q4","2018-09-11","2018-09-11",47679981,47679981,555411,NA,NA,629797,NA,NA,1367,1367,631164,629135,NA,629135,75127,2101963,2731098,102122498,NA,-104222432,-2099934,631164,"PROTALEX INC",106002
"12025","PS","2018-12-31","USD",232029000,-62550000,169479000,-287992000,-221994000,NA,NA,-118513000,-5322000,-6826000,-123835000,-4085000,-127920000,-664000,-128584000,NA,-83667000,-259942000,-146773000,89162000,43397000,NA,NA,NA,NA,-5896000,-12136000,NA,0,-12136000,NA,-127747000,13378000,200789000,182594000,698235,2018,"Q4","2019-01-30","2019-02-21",75927000,75927000,194306000,63436000,NA,266065000,31641000,NA,149757000,181398000,447463000,49209000,NA,206904000,15777000,31966000,238870000,452590000,NA,-351123000,208593000,447463000,"Pluralsight, Inc.",101003
