"","Ticker","Report.Date","Currency","Revenue","Cost.of.Revenue","Gross.Profit","Operating.Expenses","Selling..General...Administrative","Research...Development","Depreciation...Amortization.x","Operating.Income..Loss.","Non.Operating.Income..Loss.","Interest.Expense..Net","Pretax.Income..Loss...Adj.","Abnormal.Gains..Losses.","Pretax.Income..Loss.","Income.Tax..Expense..Benefit..Net","Income..Loss..from.Continuing.Operations","Net.Extraordinary.Gains..Losses.","Net.Income","Net.Income..Common.","Net.Income.Starting.Line","Non.Cash.Items","Change.in.Working.Capital","Change.in.Accounts.Receivable","Change.in.Inventories","Change.in.Accounts.Payable","Change.in.Other","Net.Cash.from.Operating.Activities","Change.in.Fixed.Assets...Intangibles","Net.Change.in.Long.Term.Investment","Net.Cash.from.Acquisitions...Divestitures","Net.Cash.from.Investing.Activities","Dividends.Paid","Cash.from..Repayment.of..Debt","Cash.from..Repurchase.of..Equity","Net.Cash.from.Financing.Activities","Net.Change.in.Cash","SimFinId","Fiscal.Year","Fiscal.Period","Publish.Date","Restated.Date","Shares..Basic.","Shares..Diluted.","Cash..Cash.Equivalents...Short.Term.Investments","Accounts...Notes.Receivable","Inventories","Total.Current.Assets","Property..Plant...Equipment..Net","Long.Term.Investments...Receivables","Other.Long.Term.Assets","Total.Noncurrent.Assets","Total.Assets","Payables...Accruals","Short.Term.Debt","Total.Current.Liabilities","Long.Term.Debt","Total.Noncurrent.Liabilities","Total.Liabilities","Share.Capital...Additional.Paid.In.Capital","Treasury.Stock","Retained.Earnings","Total.Equity","Total.Liabilities...Equity","Company.Name","IndustryId"
"11","A","2018-10-31","USD",4.914e+09,-2.227e+09,2.687e+09,-1.759e+09,-1.374e+09,-3.85e+08,NA,9.28e+08,1.8e+07,-3.7e+07,9.46e+08,NA,9.46e+08,-6.3e+08,3.16e+08,NA,3.16e+08,3.16e+08,3.16e+08,6.42e+08,-8.1e+07,-6.5e+07,-8.3e+07,4e+07,2.7e+07,1.087e+09,-1.76e+08,0,-5.16e+08,-7.04e+08,-1.91e+08,-2.1e+08,-3.66e+08,-7.97e+08,-4.31e+08,45846,2018,"Q4","2018-12-20","2018-12-20",3.19e+08,3.27e+08,2.247e+09,7.76e+08,6.38e+08,3.848e+09,8.22e+08,6.8e+07,3.803e+09,4.693e+09,8.541e+09,3.4e+08,0,1.171e+09,1.799e+09,2.799e+09,3.97e+09,5.311e+09,NA,-3.36e+08,4.571e+09,8.541e+09,"AGILENT TECHNOLOGIES INC",106001
"16","AA","2018-12-31","USD",1.3403e+10,-1.0081e+10,3.322e+09,-1.012e+09,-2.48e+08,-3.1e+07,-7.33e+08,2.31e+09,-1.86e+08,-1.22e+08,2.124e+09,-5.27e+08,1.597e+09,-7.26e+08,8.71e+08,NA,2.27e+08,2.27e+08,8.71e+08,-3.62e+08,-7.94e+08,NA,NA,NA,NA,4.48e+08,-3.99e+08,-7e+06,1e+06,-4.05e+08,NA,4.25e+08,-2.7e+07,-2.88e+08,-2.49e+08,367153,2018,"Q4","2019-02-26","2019-02-26",1.86e+08,1.93e+08,1.113e+09,8.3e+08,1.644e+09,4.134e+09,8.327e+09,1.36e+09,2.117e+09,1.1804e+10,1.5938e+10,2.489e+09,1e+06,2.919e+09,1.801e+09,5.625e+09,8.544e+09,9.613e+09,NA,3.41e+08,7.394e+09,1.5938e+10,"Alcoa Corp",110004
"27","AAL","2018-12-31","USD",4.4541e+10,-3.2651e+10,1.189e+10,-9.234e+09,-1.52e+09,NA,-1.839e+09,2.656e+09,-7.72e+08,-9.38e+08,1.884e+09,NA,1.884e+09,-4.72e+08,1.412e+09,NA,1.412e+09,1.412e+09,1.412e+09,5.28e+08,-5.66e+08,NA,NA,NA,NA,3.533e+09,-2.331e+09,NA,0,-1.973e+09,-1.86e+08,2.354e+09,-8.37e+08,-1.672e+09,-1.12e+08,68568,2018,"Q4","2019-02-25","2019-02-25",460588000,461917000,4.76e+09,1.706e+09,1.522e+09,8.637e+09,3.4098e+10,NA,1.7845e+10,5.1943e+10,6.058e+10,5.542e+09,3.294e+09,1.8096e+10,2.1179e+10,4.2653e+10,6.0749e+10,4.969e+09,NA,1.36e+08,-1.69e+08,6.058e+10,"American Airlines Group Inc.",100006
"33","AAMC","2018-12-31","USD",15926000,-17320000,-1394000,-5214000,-3609000,NA,NA,-6608000,1191000,NA,-5417000,-5084000,-10501000,-375000,-10876000,NA,-10876000,-11082000,-10876000,9550000,-1536000,NA,NA,NA,NA,-2426000,-148000,612000,NA,-107000,NA,0,-3624000,-3645000,-6178000,847094,2018,"Q4","2019-02-27","2019-05-08",1616003,1616003,41937000,NA,NA,45905000,NA,NA,3462000,3462000,49367000,6771000,NA,6771000,NA,0,6771000,42274000,-275988000,26558000,42596000,49367000,"Altisource Asset Management Corp",104001
"43","AAN","2018-12-31","USD",3828923000,-1921903000,1907020000,-1616307000,NA,NA,NA,290713000,-17306000,-15986000,273407000,-21203000,252204000,-55994000,196210000,NA,196210000,196210000,196210000,385790000,-2047556000,NA,NA,NA,NA,356498000,-69654000,NA,-188959000,-263133000,-6243000,55917000,-160760000,-128968000,-35759000,441241,2018,"Q4","2019-02-14","2019-02-14",67943000,69394000,15278000,174312000,1318470000,1537208000,229492000,0,1059992000,1289484000,2826692000,293153000,NA,560653000,424752000,505331000,1065984000,324298000,-567847000,2005344000,1760708000,2826692000,"AARON'S INC",100007
"50","AAOI","2018-12-31","USD",267465000,-179692000,87773000,-98541000,-48638000,-49903000,NA,-10768000,990000,-824000,-9778000,NA,-9778000,7632000,-2146000,NA,-2146000,-2146000,-2146000,8823000,-22346000,NA,NA,NA,NA,14029000,-71633000,NA,NA,-76514000,NA,38820000,120000,34803000,-25944000,671827,2018,"Q4","2019-02-26","2019-05-09",19798549,18812687,55646000,30534000,93256000,194275000,234211000,NA,38354000,272565000,466840000,49201000,23589000,77418000,60328000,60328000,137746000,292500000,NA,35992000,329094000,466840000,"APPLIED OPTOELECTRONICS, INC.",101004
"59","AAON","2018-12-31","USD",433947000,-330414000,103533000,-47755000,-47755000,NA,NA,55778000,149000,196000,55927000,12000,55939000,-13367000,42572000,NA,42572000,42572000,42572000,10578000,-15949000,NA,NA,NA,NA,54856000,-37255000,5569000,-6377000,-34635000,-16728000,0,-21859000,-39684000,-19463000,919501,2018,"Q4","2019-02-28","2019-05-02",52081924,52416205,1994000,54078000,77612000,140861000,163003000,NA,4333000,167336000,308197000,48071000,NA,48071000,NA,12627000,60698000,208000,NA,247291000,247499000,308197000,"AAON INC",100001
"69","AAP","2018-12-31","USD",9580554000,-5361141000,4219413000,-3615138000,-3615138000,NA,NA,604275000,-49011000,-56588000,555264000,NA,555264000,-131417000,423847000,NA,423847000,423847000,423847000,61867000,87130000,NA,NA,NA,NA,811028000,-191827000,NA,NA,-191827000,-17819000,32014000,-278154000,-263915000,349590000,184955,2018,"Q4","2019-02-13","2020-02-18",72990000,73328000,896527000,624972000,4362547000,6082454000,1368985000,NA,1589209000,2958194000,9040648000,3795931000,NA,3885950000,1045720000,1603885000,5489835000,694805000,-425954000,3326155000,3550813000,9040648000,"ADVANCE AUTO PARTS INC",103002
"88","AAPL","2018-09-30","USD",2.65595e+11,-1.63756e+11,1.01839e+11,-3.0941e+10,-1.6705e+10,-1.4236e+10,NA,7.0898e+10,2.005e+09,NA,7.2903e+10,NA,7.2903e+10,-1.3372e+10,5.9531e+10,NA,5.9531e+10,5.9531e+10,5.9531e+10,-2.725e+10,3.425e+10,NA,NA,NA,NA,7.7434e+10,-1.3313e+10,3.0845e+10,-7.21e+08,1.6066e+10,-1.3712e+10,4.32e+08,-7.2069e+10,-8.7876e+10,5.624e+09,111052,2018,"Q4","2018-10-30","2019-10-31",19206348000,19390188000,6.6301e+10,2.3186e+10,3.956e+09,1.31339e+11,4.1304e+10,1.70799e+11,2.2283e+10,2.34386e+11,3.65725e+11,5.5888e+10,2.0748e+10,1.15929e+11,9.3735e+10,1.42649e+11,2.58578e+11,4.0201e+10,NA,7.04e+10,1.07147e+11,3.65725e+11,"APPLE INC",101001
"98","AAWW","2018-12-31","USD",2677724000,-1362989000,1314735000,-579380000,NA,NA,-217340000,735355000,-97282000,-112668000,638073000,-328699000,309374000,-38727000,270647000,-80000,270567000,270567000,270567000,-51731000,-58809000,NA,NA,NA,NA,425580000,-114415000,13604000,0,-701262000,NA,221610000,-10769000,216559000,-59123000,762204,2018,"Q4","2019-02-19","2019-02-19",25592000,32856000,237125000,269320000,NA,629831000,4462235000,635000,442091000,4904961000,5534792000,552898000,264835000,817733000,2205005000,2649095000,3466828000,736341000,-204501000,1539956000,2067964000,5534792000,"ATLAS AIR WORLDWIDE HOLDINGS INC",100010
"107","AAXN","2018-12-31","USD",420068000,-161485000,258583000,-233742000,-156886000,-76856000,NA,24841000,3263000,NA,28104000,NA,28104000,1101000,29205000,NA,29205000,29205000,29205000,21885000,2170000,NA,NA,NA,NA,63875000,-11697000,6827000,-4990000,-9860000,NA,NA,235750000,219348000,272589000,493957,2018,"Q4","2019-02-27","2019-05-10",58582000,60297000,349462000,130579000,33763000,558155000,37893000,NA,123492000,161385000,719540000,56256000,NA,166011000,5704000,86205000,252216000,453401000,-155947000,171383000,467324000,719540000,"AXON ENTERPRISE, INC.",100008
"111","AB","2018-12-31","USD",NA,NA,NA,NA,NA,NA,NA,NA,270647000,NA,270647000,NA,270647000,-28250000,242397000,NA,242397000,242397000,242397000,37395000,-510000,NA,NA,NA,NA,279282000,NA,NA,-16589000,-16589000,-280722000,NA,16589000,-262693000,0,823898,2018,"Q4","2019-02-13","2019-02-13",NA,NA,NA,NA,NA,NA,NA,1490701000,NA,1490701000,1490701000,NA,NA,644000,NA,0,644000,1557277000,NA,NA,1490057000,1490701000,"ALLIANCEBERNSTEIN HOLDING L.P.",104001
"126","ABBV","2018-12-31","USD",3.2753e+10,-7.718e+09,2.5035e+10,-1.7728e+10,-7.399e+09,-1.0329e+10,NA,7.307e+09,-1.686e+09,-1.144e+09,5.621e+09,-4.24e+08,5.197e+09,4.9e+08,5.687e+09,NA,5.687e+09,5.687e+09,5.687e+09,7.101e+09,-1.126e+09,NA,NA,NA,NA,1.3427e+10,-6.38e+08,3.68e+08,NA,-1.006e+09,-5.58e+09,3.229e+09,-1.1941e+10,-1.4396e+10,-2.014e+09,61199,2018,"Q4","2019-02-27","2019-05-03",1.494e+09,1.501e+09,8.061e+09,5.384e+09,1.605e+09,1.6945e+10,2.883e+09,1.42e+09,3.8104e+10,4.2407e+10,5.9352e+10,1.1931e+10,5.308e+09,1.7239e+10,3.5002e+10,5.0559e+10,6.7798e+10,1.4774e+10,-2.4108e+10,3.368e+09,-8.446e+09,5.9352e+10,"AbbVie Inc.",106005
"137","ABC","2018-09-30","USD",167939635000,-163327318000,4612317000,-2925428000,-2460301000,NA,-465127000,1686889000,-200168000,-174699000,1486721000,-309298000,1177423000,438469000,1615892000,NA,1658405000,1658405000,1615892000,-512524000,-202089000,NA,NA,NA,NA,1411388000,-336411000,0,-785299000,-1111114000,-333041000,635695000,-500779000,-242873000,57401000,187024,2018,"Q4","2018-11-20","2018-11-20",215396000,217459000,2492516000,11314226000,11918508000,25894372000,1892424000,NA,9883042000,11775466000,37669838000,27718030000,151657000,27869687000,4510828000,6750190000,34619877000,4718309000,-5426814000,3720582000,3049961000,37669838000,"AMERISOURCEBERGEN CORP",106014
"155","ABD","2018-12-31","USD",1941200000,-1313400000,627800000,-429100000,-392400000,NA,-36700000,198700000,-38400000,-36800000,160300000,-2400000,157900000,-51200000,106700000,NA,106700000,106700000,106700000,34200000,-16800000,NA,NA,NA,NA,194800000,-33900000,NA,-3.8e+07,-71900000,-25100000,-24200000,-68200000,-125600000,-9900000,120923,2018,"Q4","2019-02-27","2019-02-27",102500000,104100000,6.7e+07,428400000,340600000,880200000,263700000,NA,1642500000,1906200000,2786400000,431900000,39500000,599200000,8.43e+08,1397500000,1996700000,1942100000,-33900000,-656800000,789700000,2786400000,"ACCO BRANDS Corp",100001
"164","ABG","2018-12-31","USD",6874400000,-5771400000,1.103e+09,-792100000,-755800000,NA,-33700000,310900000,-86100000,-86100000,224800000,NA,224800000,-56800000,1.68e+08,NA,1.68e+08,1.68e+08,1.68e+08,45100000,-236700000,NA,NA,NA,NA,10100000,-40700000,NA,-91300000,-149600000,NA,232300000,-110200000,143100000,3600000,545489,2018,"Q4","2019-02-28","2019-02-28",19500000,19600000,8300000,130300000,1067600000,1.553e+09,886100000,NA,256300000,1142400000,2695400000,412400000,38800000,1303300000,866500000,918900000,2222200000,573300000,-1023400000,922700000,473200000,2695400000,"ASBURY AUTOMOTIVE GROUP INC",103005
"174","ABM","2018-10-31","USD",6442200000,-5747400000,694800000,-529700000,-4.38e+08,NA,-91700000,165100000,-50900000,-54100000,114200000,-26500000,87700000,8200000,95900000,1800000,97700000,97700000,9.6e+07,26200000,39100000,NA,NA,NA,NA,2.95e+08,-48600000,2900000,-2300000,-4.8e+07,-4.6e+07,-2.54e+08,-1e+06,-269800000,-23500000,199984,2018,"Q4","2018-12-21","2018-12-21",66400000,66800000,39100000,1014100000,NA,1.171e+09,140100000,16300000,2300100000,2456500000,3627500000,605900000,3.7e+07,792400000,9.02e+08,1380400000,2172800000,692500000,NA,771200000,1454700000,3627500000,"ABM INDUSTRIES INC /DE/",100002
"184","ABMC","2018-12-31","USD",3872000,-2584000,1288000,-2050000,-1957000,-93000,NA,-762000,-266000,-285000,-1028000,NA,-1028000,-2000,-1030000,NA,-1030000,-1030000,-1028000,260000,467000,NA,NA,NA,NA,-220000,-22000,NA,NA,-22000,NA,319000,NA,319000,77000,160965,2018,"Q4","2019-04-16","2019-08-14",30460058,30460058,113000,452000,1019000,1613000,718000,NA,144000,862000,2475000,1086000,237000,1825000,NA,796000,2621000,21727000,NA,-21873000,-146000,2475000,"AMERICAN BIO MEDICA CORP",106002
"193","ABMD","2019-03-31","USD",769432000,-129567000,639865000,-415053000,-321550000,-93503000,NA,224812000,38548000,NA,263360000,NA,263360000,-4344000,259016000,NA,259016000,259016000,259016000,18816000,-39756000,NA,NA,NA,NA,252197000,-44004000,-72451000,NA,-116455000,NA,NA,12949000,-55775000,78046000,445587,2018,"Q4","2019-05-23","2019-10-31",45091000,46146000,491698000,90809000,80942000,677197000,145005000,21718000,210426000,377149000,1054346000,89605000,NA,105998000,NA,11458000,117456000,690958000,-138852000,399473000,936890000,1054346000,"Abiomed Inc",106004
"205","ABT","2018-12-31","USD",3.0578e+10,-1.2706e+10,1.7872e+10,-1.4222e+10,-9.744e+09,-2.3e+09,-2.178e+09,3.65e+09,-6.1e+08,-7.21e+08,3.04e+09,-1.67e+08,2.873e+09,-5.39e+08,2.334e+09,3.4e+07,2.368e+09,2.368e+09,2.368e+09,8.02e+08,-1.48e+08,NA,NA,NA,NA,6.3e+09,-1.394e+09,-5.8e+07,4.8e+07,-1.356e+09,-1.974e+09,-8.45e+09,3.3e+07,-1.0391e+10,-5.563e+09,63877,2018,"Q4","2019-02-22","2019-02-22",1761167000,1774092000,4.086e+09,5.182e+09,3.796e+09,1.4632e+10,7.563e+09,8.97e+08,4.4081e+10,5.2541e+10,6.7173e+10,8.805e+09,2.07e+08,9.012e+09,1.9359e+10,2.7439e+10,3.6451e+10,2.3512e+10,-9.962e+09,2.456e+10,3.0722e+10,6.7173e+10,"ABBOTT LABORATORIES",106004
"210","AC","2018-12-31","USD",22779000,NA,22779000,-36259000,-26607000,NA,NA,-13480000,13122000,13122000,-358000,-68503000,-68861000,11478000,-57383000,NA,-58099000,-58099000,-57383000,48309000,86033000,NA,NA,NA,NA,76980000,NA,-10392000,NA,4736000,-4666000,5e+07,-7011000,34689000,116405000,919941,2018,"Q4","2019-03-08","2019-05-09",22713000,20773000,409564000,NA,NA,439896000,NA,490824000,23713000,514537000,954433000,28811000,NA,38385000,NA,NA,38385000,1008344000,-102207000,-39889000,916048000,954433000,"Associated Capital Group, Inc.",NA
"212","ACA","2018-12-31","USD",1460400000,-1188400000,2.72e+08,-153900000,-153900000,NA,NA,118100000,1e+05,-9e+05,118200000,-23200000,9.5e+07,-19300000,75700000,NA,75700000,75700000,75700000,51300000,-76100000,NA,NA,NA,NA,118500000,-34600000,NA,-329900000,-364500000,NA,179700000,NA,338600000,92600000,919864,2018,"Q4","2019-02-02","2019-05-03",48800000,49200000,99400000,291400000,252500000,6.67e+08,8.03e+08,NA,702200000,1505200000,2172200000,232400000,1800000,234200000,183700000,253500000,487700000,1686200000,-3500000,19500000,1684500000,2172200000,"Arcosa, Inc.",100003
"221","ACAD","2018-12-31","USD",223807000,-12377000,211430000,-458874000,-265758000,-187163000,NA,-247444000,3508000,5348000,-243936000,NA,-243936000,-1256000,-245192000,NA,-245192000,-245192000,-245192000,82914000,-8197000,NA,NA,NA,NA,-167470000,-2104000,-69385000,NA,-71489000,NA,NA,306647000,306647000,67691000,445591,2018,"Q4","2019-02-27","2019-05-02",131686000,131686000,473520000,26090000,4070000,526106000,3309000,NA,10787000,14096000,540202000,59565000,NA,59565000,NA,1558000,61123000,1948314000,NA,-1468863000,479079000,540202000,"Acadia Pharmaceuticals Inc",106002
"235","ACET","2018-06-30","USD",711359000,-599796000,111563000,-130309000,-122376000,-7933000,NA,-18746000,-17810000,-17810000,-36556000,-256266000,-292822000,-23299000,-316121000,NA,-316121000,-316121000,-316121000,282648000,102467000,30182000,-22000,16729000,55578000,101806000,-7242000,-1039000,NA,-8281000,-6288000,-43181000,606000,-48863000,45194000,191612,2018,"Q4","2018-09-28","2018-09-28",5055088,5014504,103904000,247246000,137076000,502627000,14180000,NA,250217000,264397000,767024000,288036000,14482000,302518000,302916000,369221000,671739000,222907000,NA,-126737000,95285000,767024000,"ACETO CORP",106005
"242","ACF","2018-06-30","USD",1.4016e+10,NA,1.4016e+10,-8.439e+09,NA,NA,NA,5.577e+09,-3.042e+09,-3.225e+09,2.535e+09,-6.42e+08,1.893e+09,-3.23e+08,1.57e+09,0,1.57e+09,1.57e+09,1.57e+09,-1.766e+09,-1.29e+08,NA,NA,NA,NA,7.372e+09,-4.3111e+10,NA,-5.4e+07,-1.7516e+10,-4.34e+08,1.1176e+10,4.92e+08,1.1088e+10,8.76e+08,748227,2018,"Q4","2019-02-06","2019-02-06",134637387,139776263,4.883e+09,NA,NA,5.8124e+10,4.381e+10,1.355e+09,6.631e+09,5.1796e+10,1.0992e+11,1.954e+09,4.2835e+10,4.9586e+10,4.8153e+10,4.8675e+10,9.8261e+10,8.058e+09,NA,4.667e+09,1.1659e+10,1.0992e+11,"General Motors Financial Company, Inc.",NA
"253","ACGL","2018-12-31","USD",5450568000,NA,5450568000,-4557714000,-3774235000,NA,-105670000,892854000,-51082000,-120484000,841772000,0,841772000,-113951000,727821000,NA,757971000,713616000,764515000,628956000,60181000,NA,NA,NA,NA,1559322000,1532149000,-804338000,0,-734903000,-41645000,-365750000,-282762000,-807927000,-2641000,445596,2018,"Q4","2019-02-28","2019-08-07",402111243,408899691,15345566000,36246000,NA,16109485000,NA,6701637000,9407207000,16108844000,32218329000,90034000,NA,13128956000,4661428000,8651694000,21780650000,1794415000,-2382167000,9426299000,10437679000,32218329000,"Arch Capital Group LTD",104013
"262","ACHC","2018-12-31","USD",3012442000,-2086369000,926073000,-535406000,NA,NA,-158832000,390667000,-185410000,-185410000,205257000,-374211000,-168954000,-6532000,-175486000,NA,-175750000,-175750000,-175486000,396894000,36388000,NA,NA,NA,NA,414080000,-341462000,NA,NA,-360964000,NA,-61658000,NA,-67330000,-16780000,445598,2018,"Q4","2019-03-01","2019-05-01",87384000,86854000,50510000,318087000,NA,450417000,3107766000,NA,2614321000,5722087000,6172504000,382265000,34112000,416377000,3159375000,3394014000,3810391000,2542861000,NA,252823000,2362113000,6172504000,"Acadia Healthcare Company Inc",106011
"266","ACIA","2018-12-31","USD",339891000,-192771000,147120000,-154270000,-51864000,-102406000,NA,-7150000,6746000,7209000,-404000,0,-404000,5320000,4916000,NA,4916000,4916000,4916000,31927000,32596000,NA,NA,NA,NA,83085000,-14660000,-41518000,NA,-95949000,NA,0,5813000,5813000,-7051000,353923,2018,"Q4","2019-02-21","2019-02-21",40398000,45785000,325104000,90831000,25511000,454044000,26643000,74764000,46408000,147815000,601859000,78498000,NA,83599000,NA,15533000,99132000,360271000,-39712000,182540000,502727000,601859000,"Acacia Communications, Inc.",101005
"275","ACLS","2018-12-31","USD",442575000,-262939000,179636000,-119677000,-67801000,-51876000,NA,59959000,-5254000,-2782000,54705000,NA,54705000,-8820000,45885000,NA,45885000,45885000,45885000,21198000,-25890000,NA,NA,NA,NA,46965000,-4715000,NA,NA,-4715000,NA,NA,2605000,1186000,44022000,670942,2018,"Q4","2019-03-11","2019-03-11",32471000,33970000,177993000,78727000,1.29e+08,396771000,41149000,NA,110521000,151670000,548441000,55635000,NA,84997000,NA,55107000,140104000,565149000,NA,-157260000,408337000,548441000,"AXCELIS TECHNOLOGIES INC",101004
"282","ACLZ","2018-12-31","USD",21729605,-9075828,12653777,-21490792,-12600460,-8890332,NA,-8837015,-2580425,-2581046,-11417440,0,-11417440,NA,-11417440,NA,-11417440,-11417440,-11417440,5927663,1425023,NA,NA,NA,NA,-3460496,-1388880,NA,NA,-1388880,NA,4745602,NA,4745602,-139588,655300,2018,"Q4","2019-04-16","2019-08-16",66183633,66183633,27295,0,NA,2413606,0,NA,160246,160246,2573852,0,NA,6861284,NA,9185743,16047027,66179,29498125,-42960124,-13473175,2573852,"Accelerize Inc.",108001
"292","ACM","2018-09-30","USD",20155512000,-19504863000,650649000,-135787000,-135787000,NA,NA,514862000,-166251000,-267519000,348611000,-171127000,177484000,19643000,197127000,NA,136468000,136468000,197127000,308408000,1448000,NA,NA,NA,NA,774553000,-86878000,7174000,19537000,-59087000,NA,-311248000,8517000,-624868000,84371000,445606,2018,"Q4","2018-11-13","2018-11-13",158605000,164489000,642168000,5468821000,NA,7127322000,614062000,NA,6939747000,7553809000,14681131000,5032895000,143051000,6129677000,3483746000,4273080000,10402757000,3847962000,NA,948148000,4278374000,14681131000,"Aecom Technology Corp",100003
"303","ACN","2018-08-31","USD",41603428000,-29160515000,12442913000,-6601872000,-6601872000,NA,NA,5841041000,-32948000,36798000,5808093000,0,5808093000,-1593499000,4214594000,NA,4059907000,4059907000,4214594000,1078517000,-193196000,-476041000,NA,-167971000,450816000,6026691000,-612255000,NA,-637349000,-1249604000,-1708724000,-4195000,-1885948000,-3709028000,934500000,61372,2018,"Q4","2018-10-24","2018-10-24",640899432,653794361,5064552000,4996454000,NA,13585559000,1264020000,215532000,9383972000,10863524000,24449083000,6415859000,5337000,10151751000,19676000,3572744000,13724495000,4870836000,-2116948000,7952413000,10724588000,24449083000,"Accenture plc",108002
"320","ACRX","2018-12-31","USD",2151000,-3976000,-1825000,-33902000,-20765000,-13137000,NA,-35727000,-2217000,-2217000,-37944000,-9203000,-47147000,-2000,-47149000,NA,-47149000,-47149000,-47149000,15632000,1867000,NA,NA,NA,NA,-29075000,-819000,-10058000,81525000,70648000,NA,-7718000,1218000,-6500000,35073000,113247,2018,"Q4","2019-03-07","2019-03-07",70857283,70857283,105715000,49000,854000,107994000,11483000,NA,1056000,12539000,120533000,6610000,8611000,15928000,3380000,100352000,116280000,349272000,NA,-345019000,4253000,120533000,"ACELRX PHARMACEUTICALS INC",106004
"338","ACY","2018-12-31","USD",30525100,NA,30525100,-16090800,-2343800,NA,-12637100,14434300,-9506000,-9506000,4928300,-13982300,-9054000,972800,-8081200,NA,-8081200,-8081200,-8081200,9090000,4233600,NA,NA,NA,NA,17941200,-6210700,NA,-2875100,-9085800,NA,-15900700,NA,-15970700,-7115300,696963,2018,"Q4","2019-03-19","2019-05-15",1546947,1546947,1542500,3967200,NA,33063200,69100,NA,184019900,184089000,217152200,2064900,131092200,136524900,31802300,39339400,175864300,16784600,-3037300,27540600,41287900,217152200,"AEROCENTURY CORP",100007
"349","ADBE","2018-11-30","USD",9030008000,-1194999000,7835009000,-4994640000,-3365727000,-1537812000,NA,2840369000,-46493000,-89242000,2793876000,NA,2793876000,-203102000,2590774000,NA,2590774000,2590774000,2590774000,148612000,943426000,NA,NA,NA,NA,4029304000,-261656000,NA,-6314382000,-4685295000,NA,2246635000,-1859010000,-5568000,-663297000,14099,2018,"Q4","2019-01-25","2019-01-25",488256000,496821000,3228962000,1315578000,NA,4857039000,1075072000,NA,12836571000,13911643000,18768682000,1385152000,NA,4301126000,4124800000,5105442000,9406568000,5685398000,-7990751000,11815597000,9362114000,18768682000,"Adobe Systems",101003
"356","ADES","2018-12-31","USD",23945000,353000,24298000,-30698000,-13998000,NA,-723000,-6400000,52277000,-1912000,45877000,0,45877000,-10423000,35454000,NA,35454000,35454000,35454000,6573000,-5464000,NA,NA,NA,NA,37286000,-467000,NA,-63251000,-63718000,-20165000,67900000,-25343000,19511000,-6921000,619745,2018,"Q4","2019-03-18","2019-05-06",19314000,19477000,18577000,9554000,21791000,59776000,42697000,6634000,50557000,99888000,159664000,14514000,24067000,40719000,50058000,50998000,91717000,96773000,-41740000,12914000,67947000,159664000,"Advanced Emissions Solutions, Inc.",100001
"367","ADI","2018-10-31","USD",6200942000,-1967640000,4233302000,-2351567000,-695937000,-1655630000,NA,1881735000,-243218000,-244206000,1638517000,NA,1638517000,-143085000,1495432000,NA,1495432000,1495432000,1495432000,-549025000,696891000,NA,NA,NA,NA,2442361000,-254876000,NA,-52839000,-313998000,-703307000,-1531222000,-126950000,-2358042000,-231247000,65917,2018,"Q4","2018-11-27","2018-11-27",370928000,374970000,816591000,639717000,586760000,2112126000,1154328000,28730000,17154595000,18337653000,20449779000,851721000,6.7e+07,1406138000,6265674000,8055101000,9461239000,5343916000,NA,5703064000,10988540000,20449779000,"ANALOG DEVICES INC",101004
"370","ADIL","2018-12-31","USD",NA,NA,NA,-6987222,-6618763,-368459,NA,-6987222,-1159654,-1159654,-8146876,-3484502,-11631378,0,-11631378,NA,-11631378,-11631378,-11631378,9981743,-849315,NA,NA,NA,NA,-2498387,0,410000,NA,410000,NA,-228750,6267932,5939182,3850795,807531,2018,"Q4","2019-02-12","2019-08-13",6665596,243182,3869043,NA,NA,4692550,NA,NA,6735,6735,4699285,257974,NA,257974,NA,0,257974,16476681,NA,-12035370,4441311,4699285,"ADIAL PHARMACEUTICALS, INC.",106002
"380","ADM","2018-06-30","USD",6.4341e+10,-6.016e+10,4.181e+09,-2.165e+09,-2.165e+09,NA,NA,2.016e+09,2.15e+08,-2.02e+08,2.231e+09,-1.71e+08,2.06e+09,-2.45e+08,1.815e+09,NA,1.81e+09,1.81e+09,1.815e+09,1.092e+09,-8.632e+09,-8.214e+09,2.26e+08,-3e+08,-3.44e+08,-4.784e+09,-6.51e+08,1.3e+07,-6.21e+08,6.582e+09,-7.58e+08,9.89e+08,-7.7e+07,1.87e+08,1.985e+09,66997,2018,"Q4","2019-02-19","2019-04-26",5.64e+08,5.68e+08,2.003e+09,2.233e+09,8.813e+09,2.0588e+10,9.953e+09,5.324e+09,4.968e+09,2.0245e+10,4.0833e+10,8.173e+09,6.9e+08,1.1776e+10,7.698e+09,1.0012e+10,2.1788e+10,2.56e+09,NA,1.8527e+10,1.9045e+10,4.0833e+10,"ARCHER DANIELS MIDLAND CO",102002
