"","X.1","X","h_hotelid","h_in_page","hotel_name","hotel_loc","h_dist_centro","h_dist_praia","h_num_stars","h_num_comments","h_prices","h_peq_almoco","h_canc_gratuito","h_quartos_restantes","h_score_medio","zona_central","zona_oeste","zona_sul"
"48",48,48,1713389,1,"Vogue Square Fashion Hotel by Lenny Niemeyer"," Barra da Tijuca",24,2.7,4,1444,48,1,1,0,8.7,0,1,0
"49",49,49,1714741,1,"Best Western Plus Copacabana Design Hotel"," Copacabana",7,1,3,1020,36,1,1,0,8.6,0,0,1
"50",50,50,18977,2,"JANEIRO Hotel"," Leblon",10,0,5,439,214,0,0,1,9.3,0,0,1
"51",51,51,257009,2,"Hilton Copacabana Rio de Janeiro"," Copacabana",7,0,5,646,106,0,0,0,8.5,0,0,1
"52",52,52,19422,2,"Windsor Palace"," Copacabana",7,0.65,4,1192,64,1,1,0,8.7,0,0,1
"53",53,53,278050,2,"Hotel Viña Del Mar"," Centro do Rio de Janeiro",1.6,1.6,3,1333,17,1,1,0,7.4,1,0,0
"54",54,54,189268,2,"Orla Copacabana Hotel"," Copacabana",9,0,4,2361,48,0,0,0,8.2,0,0,1
"55",55,55,1592190,2,"Yoo2 Rio de Janeiro by Intercity"," Botafogo",4.7,0,5,1119,74,1,1,0,8.5,0,0,1
"56",56,56,23405,2,"JW Marriott Rio de Janeiro"," Copacabana",8,0,5,151,116,0,1,0,7.9,0,0,1
"57",57,57,258121,2,"Scorial Rio Hotel"," Catete",3.2,0.9,4,1060,39,1,1,1,8.7,0,0,1
"58",58,58,19464,2,"Windsor Excelsior Copacabana"," Copacabana",7,0,4,1825,62,1,1,0,8.6,0,0,1
"59",59,59,189230,2,"Américas Granada Hotel"," Centro do Rio de Janeiro",1.2,2.3,4,3101,26,1,1,0,8.6,1,0,0
"60",60,60,1793374,2,"Ibis Styles RJ Botafogo"," Botafogo",5,0.45,3,1131,38,0,0,0,8.2,0,0,1
"61",61,61,1475661,2,"Tropical Barra Hotel"," Barra da Tijuca",17,0,4,1992,40,1,1,1,8.4,0,1,0
"62",62,62,2010891,2,"Petit Rio Hotel"," Catete",3,0.8,3,1366,32,1,1,0,8.8,0,0,1
"63",63,63,14626,2,"Copa Sul Hotel"," Copacabana",9,0.6,3,642,35,1,1,0,8.3,0,0,1
"64",64,64,1305629,2,"Hilton Barra Rio de Janeiro"," Barra da Tijuca",21,NA,5,477,113,0,0,0,8.8,0,1,0
"65",65,65,1115061,2,"Hotel Rio Lancaster"," Copacabana",7,0,3,3223,35,1,1,1,7.8,0,0,1
"66",66,66,16762,2,"Atlantis Copacabana Hotel"," Ipanema",9,0.25,3,2658,41,1,1,1,8.6,0,0,1
"67",67,67,19402,2,"Windsor Martinique"," Copacabana",8,0.75,3,1409,40,1,1,0,8.8,0,0,1
"68",68,68,1703827,2,"Radisson Rio de Janeiro Barra"," Barra da Tijuca",19,NA,4,1397,43,1,1,0,8.7,0,1,0
"69",69,69,1348654,2,"Ibis RJ Nova America Hotel"," Zona Norte",9,NA,3,937,37,0,0,0,8.5,0,0,0
"70",70,70,97514,2,"Mar Ipanema Hotel"," Ipanema",9,1.2,4,788,59,1,1,0,8.2,0,0,1
"71",71,71,13628,2,"Royalty Barra Hotel"," Barra da Tijuca",18,0,4,1330,70,1,1,1,7.6,0,1,0
"72",72,72,97411,2,"Windsor Leme"," Leme",6,0.15,4,1343,74,1,1,0,8.9,0,0,1
"73",73,73,1725261,2,"Ramada by Wyndham Rio de Janeiro Recreio"," Recreio dos Bandeirantes",34,1.5,3,2200,28,0,1,0,8.4,0,1,0
"74",74,74,12163,2,"Hotel Atlântico Avenida"," Centro do Rio de Janeiro",0.3,NA,3,6733,13,1,1,0,6.2,1,0,0
"75",75,75,249518,3,"Mirasol Copacabana Hotel"," Copacabana",7,0.001,4,1392,40,1,1,1,8.6,0,0,1
"76",76,76,1301690,3,"Monza Hotel"," Barra da Tijuca",22,NA,3,1888,39,0,1,0,8.7,0,1,0
"77",77,77,23349,3,"Plaza Barra First"," Barra da Tijuca",24,NA,4,1296,44,1,1,0,8.5,0,1,0
"78",78,78,97520,3,"Novotel Rio de Janeiro Leme"," Leme",6,0,4,389,66,1,1,0,8.5,0,0,1
"79",79,79,1405159,3,"Américas Copacabana Hotel"," Copacabana",7,0.55,4,1825,34,0,0,1,8.5,0,0,1
"80",80,80,241249,3,"Copacabana Mar Hotel"," Copacabana",7,0.95,4,1927,28,1,1,0,8.4,0,0,1
"81",81,81,1701585,3,"Downtown Santana Hotel"," Centro do Rio de Janeiro",1.8,NA,3,1739,15,1,1,0,8,1,0,0
"82",82,82,1683069,3,"Days Inn by Wyndham Rio de Janeiro Lapa"," Centro do Rio de Janeiro",1.6,2.3,4,1731,23,1,1,0,8.6,1,0,0
"83",83,83,14752,3,"South American Copacabana Hotel"," Copacabana",9,0.6,4,1251,35,1,1,1,8.4,0,0,1
"84",84,84,1703831,3,"Ibis Rio De Janeiro Botafogo"," Botafogo",5,0.95,3,1016,34,0,0,0,8.3,0,0,1
"85",85,85,742894,3,"Ibis Rio de Janeiro Centro"," Centro do Rio de Janeiro",0.75,2.6,3,496,30,0,0,0,7.9,1,0,0
"86",86,86,281033,3,"Diamond Hotel"," Glória",1.9,1.4,3,2163,24,1,1,1,8.1,1,0,0
"87",87,87,2311215,3,"Ibis Budget Rio de Janeiro Nova America"," Zona Norte",9,NA,2,2139,30,0,0,0,8.2,0,0,0
"88",88,88,18657,3,"Jucati Season Apartments"," Copacabana",7,1.1,3,649,25,0,0,0,8.4,0,0,1
"89",89,89,1096720,3,"Novotel Rio de Janeiro Parque Olimpico"," Barra da Tijuca",21,NA,4,564,46,0,0,0,8.3,0,1,0
"90",90,90,172111,3,"Premier Copacabana Hotel"," Copacabana",7,0.85,4,1558,38,1,1,0,7.7,0,0,1
"91",91,91,248692,3,"Novotel Rio de Janeiro Santos Dumont"," Centro do Rio de Janeiro",1.2,2.2,4,422,49,0,0,0,8.2,1,0,0
"92",92,92,677448,3,"Linx Galeão"," Ilha do Governador",12,NA,3,2502,42,0,0,1,8.1,0,0,0
"93",93,93,1505796,3,"Royalty Rio Hotel"," Copacabana",7,0.5,4,640,41,1,1,1,7.7,0,0,1
"94",94,94,173056,3,"Majestic Rio Palace Hotel"," Copacabana",7,0.65,3,598,28,1,1,0,7.9,0,0,1
"95",95,95,1834337,3,"Laghetto Stilo Barra Rio"," Barra da Tijuca",21,NA,4,1696,67,1,1,1,8.6,0,1,0
"96",96,96,392238,3,"Fluminense Hotel"," Centro do Rio de Janeiro",1.4,2.2,3,1266,24,1,1,0,8.5,1,0,0
"97",97,97,23346,3,"Own Ipanema Visconti"," Ipanema",9,0.65,4,986,60,1,1,0,8.2,0,0,1
"98",98,98,1337064,3,"KS Beach Hotel"," Recreio dos Bandeirantes",33,0,3,775,42,1,1,1,8.5,0,1,0
"99",99,99,1013494,4,"Hotel Carioca"," Centro do Rio de Janeiro",1.2,2.4,2,1761,18,1,1,0,8.1,1,0,0
"100",100,100,11842,4,"Oceano Copacabana Hotel"," Copacabana",7,0.75,3,1240,39,1,1,0,6.3,0,0,1
"101",101,101,249045,4,"Entremares Hotel"," Barra da Tijuca",17,1.8,3,1001,30,1,1,1,8.2,0,1,0
"102",102,102,238812,4,"Américas Gaivota Hotel"," Barra da Tijuca",18,1.9,3,2228,29,1,1,1,7.4,0,1,0
"103",103,103,1664639,4,"Hotel Plaza Spania"," Botafogo",5,0.35,3,825,39,1,1,1,8.5,0,0,1
"104",104,104,189280,4,"Praia Ipanema Hotel"," Ipanema",10,0,4,1231,94,1,1,1,8.1,0,0,1
"105",105,105,402755,4,"Windsor Copa Hotel"," Copacabana",7,1.1,3,716,40,1,1,0,8.5,0,0,1
"106",106,106,284148,4,"Elegance Praia Hotel"," Flamengo",3,0.4,3,933,46,1,1,0,8.6,0,0,1
"107",107,107,432196,4,"Ritz Leblon"," Leblon",10,0.45,4,689,86,1,1,0,8.1,0,0,1
"108",108,108,285730,4,"Gallant Hotel"," Zona Norte",3.5,NA,3,1216,26,0,0,0,7.9,0,0,0
"109",109,109,317506,4,"OYO Rio Colinas Hotel"," Copacabana",9,0.7,3,839,27,1,1,0,6.5,0,0,1
"110",110,110,300608,4,"Hotel Copamar"," Copacabana",7,0.6,3,578,28,1,1,1,8.2,0,0,1
"111",111,111,1233654,4,"Ibis Rio de Janeiro Parque Olimpico"," Barra da Tijuca",21,NA,3,1490,39,0,0,0,8.2,0,1,0
"112",112,112,439969,4,"Quality Rio de Janeiro - Barra da Tijuca"," Barra da Tijuca",23,NA,4,1899,45,1,1,0,8.5,0,1,0
"113",113,113,6415077,4,"Tulip Inn Rio de Janeiro Ipanema"," Ipanema",9,0.45,3,122,52,1,1,0,8.1,0,0,1
"114",114,114,236372,4,"Hotel Americano"," Centro do Rio de Janeiro",1.6,1.6,1,549,12,0,0,1,7.1,1,0,0
"115",115,115,1785648,4,"Novotel Rj Porto Atlantico"," Porto Maravilha",2.6,NA,4,263,44,0,0,0,8.2,1,0,0
"116",116,116,11848,4,"Apa Hotel Copacabana"," Copacabana",7,1.1,3,493,31,1,1,0,8.2,0,0,1
"117",117,117,1332663,4,"Samba Rio Convention"," Jacarepaguá",23,NA,4,675,35,1,1,0,8.5,0,1,0
"118",118,118,23347,4,"Promenade Palladium"," Leblon",10,0.3,4,553,104,1,1,1,8.7,0,0,1
"119",119,119,2082086,4,"Injoy Lofts Ipanema"," Ipanema",9,0.9,3,519,44,0,0,1,8.5,0,0,1
"120",120,120,1038439,4,"Hotel Plaza Riazor"," Catete",2.8,0.65,1,1216,14,1,1,1,7.3,0,0,1
