"","X.1","X","h_hotelid","h_in_page","hotel_name","hotel_loc","h_dist_centro","h_dist_praia","h_num_stars","h_num_comments","h_prices","h_peq_almoco","h_canc_gratuito","h_quartos_restantes","h_score_medio","zona_central","zona_oeste","zona_sul"
"207",207,207,1612876,8,"Rio Spot Atlantica 2440"," Copacabana",7,0,3,35,213,0,0,1,7.7,0,0,1
"208",208,208,1900269,8,"Discovery Suites Rio"," Santa Teresa",2.4,1.6,4,158,46,1,1,1,9.1,1,0,0
"209",209,209,6477959,8,"Quartos da Preta"," Recreio dos Bandeirantes",33,NA,NA,9,18,0,0,1,9,0,1,0
"210",210,210,1459164,8,"VOA Casa Tuxi"," Botafogo",4.8,0.45,3,350,27,1,1,1,7.4,0,0,1
"211",211,211,189039,8,"Biarritz Hotel"," Copacabana",8,0.4,2,253,52,1,1,1,6.4,0,0,1
"212",212,212,2306487,8,"Pousada Barra Riocentro"," Jacarepaguá",25,NA,3,38,22,1,1,1,6,0,1,0
"213",213,213,330697,8,"Parque Hotel"," Centro do Rio de Janeiro",1.8,2.9,2,322,16,1,1,1,7.6,1,0,0
"214",214,214,695655,8,"Rio Way Hostel"," Recreio dos Bandeirantes",33,0,NA,258,33,0,0,1,7.8,0,1,0
"215",215,215,350029,8,"Hotel Fênix (Adult Only)"," Centro do Rio de Janeiro",1.4,2.7,NA,69,31,1,1,1,8,1,0,0
"216",216,216,857680,8,"Baixo Copa Guest House"," Copacabana",8,0.3,3,267,27,0,0,1,7.7,0,0,1
"217",217,217,5727448,8,"Hostel Maresias do Leme"," Leme",6,0.45,NA,103,22,1,1,1,9.4,0,0,1
"218",218,218,5442726,8,"OYO Hotel Rio Laranjeiras"," Laranjeiras",3.7,1.4,NA,313,21,0,0,1,8.4,0,0,1
"219",219,219,595377,8,"Copacabana Hostel"," Copacabana",7,0.55,NA,466,16,0,0,1,7.3,0,0,1
"220",220,220,4591977,9,"Copacabana perto de tudo"," Copacabana",6,0.7,4,3,48,0,0,1,8.3,0,0,1
"221",221,221,6594317,9,"Carvalho de Paquetá"," Rio de JaneiroMostrar no mapa",16,NA,NA,11,27,0,0,1,9.4,1,0,0
"222",222,222,1902888,9,"Hotel Magnus (Adult Only)"," Zona Norte",3.5,NA,NA,115,24,1,1,0,7.8,0,0,0
"223",223,223,1840751,9,"Riosoleil Copacabana"," Copacabana",9,0.65,NA,69,25,0,0,1,9.1,0,0,1
"224",224,224,411002,9,"Shelton Hotel (Adult Only)"," Zona Norte",18,NA,NA,192,22,1,1,0,7.8,0,0,0
"225",225,225,1840106,9,"Hostel Sol e Mar"," Vidigal",11,0,NA,36,20,0,0,1,8.7,0,0,1
"226",226,226,682105,9,"Vidigal Varandas Hostel"," Vidigal",12,0.95,NA,152,23,0,0,1,8.4,0,0,1
"227",227,227,636582,9,"Hotel Gomes Freire (Adult Only)"," Centro do Rio de Janeiro",1.1,2.6,NA,141,16,0,0,1,7.4,1,0,0
"228",228,228,707386,9,"Pousada e Hostel Barra da Tijuca"," Barra da Tijuca",18,2.8,NA,155,43,1,1,1,7.9,0,1,0
"229",229,229,2082937,9,"Apartamento em Copacabana"," Copacabana",6,0.65,3,70,20,0,0,0,8.6,0,0,1
"230",230,230,6805187,9,"PrimeBarra"," Jacarepaguá",23,NA,NA,0,27,1,1,1,NA,0,1,0
"231",231,231,329043,9,"Hotel Caracas Rio Aeroporto Galeão"," Ilha do Governador",12,NA,4,154,27,0,0,0,6.9,0,0,0
"232",232,232,2928164,9,"Hotel Cabo Finisterra"," Centro do Rio de Janeiro",1.8,2.2,NA,193,10,0,0,1,6.1,1,0,0
"233",233,233,1879650,9,"Hotel Hostal (Adults Only)"," Centro do Rio de Janeiro",1,2.7,NA,177,15,1,1,1,7.4,1,0,0
"234",234,234,374358,9,"Love Time Hotel (Adult Only)"," Glória",2.4,0.9,NA,144,35,1,1,1,8.3,1,0,0
"235",235,235,289658,9,"Motel Caricia (Adult Only)"," Madureira",17,NA,NA,74,28,0,0,0,7.3,0,0,0
"236",236,236,6873140,9,"Casa em frente à praia"," Rio de JaneiroMostrar no mapa",40,NA,NA,0,157,0,0,0,NA,1,0,0
"237",237,237,5566634,9,"Pousada Sobrado Botafogo"," Botafogo",5,0.9,NA,92,9,0,0,1,8.6,0,0,1
"238",238,238,4513401,9,"Pousada Mansão Rio centro"," Jacarepaguá",25,NA,NA,25,22,1,1,0,6.9,0,1,0
"239",239,239,2710541,9,"Pousada Serra e Mar RioCentro"," Rio de JaneiroMostrar no mapa",25,NA,3,73,17,1,1,1,6.6,1,0,0
"240",240,240,358185,9,"Gamboa Rio Hotel"," Centro do Rio de Janeiro",1.1,NA,2,238,33,1,1,0,7.1,1,0,0
"241",241,241,865559,9,"Mambembe Hostel"," Centro do Rio de Janeiro",1.7,1.7,NA,216,13,0,0,1,8.7,1,0,0
"242",242,242,743885,9,"Santa Tere Hostel"," Santa Teresa",2.5,1.4,NA,279,17,0,0,1,8.6,1,0,0
"243",243,243,1168226,9,"Apartamento Copacabana - Rio de Janeiro"," Copacabana",6,0.75,4,10,55,0,0,0,8.5,0,0,1
"244",244,244,1123339,10,"Copacabana Djalma Ulrich Posto 5"," Copacabana",8,0.7,3,9,138,0,0,0,7,0,0,1
"245",245,245,687017,10,"Hotel Meu Cantinho (Adults Only)"," Centro do Rio de Janeiro",0.9,2.8,NA,220,16,1,1,1,8.2,1,0,0
"246",246,246,1492725,10,"Lindo Studio Ipanema"," Ipanema",9,0,3,66,58,0,0,0,8.7,0,0,1
"247",247,247,300923,10,"Midway Motel (Adult Only)"," Centro do Rio de Janeiro",1.1,2.6,NA,595,17,1,1,1,8,1,0,0
"248",248,248,548188,10,"Hospedagem Ledo"," Centro do Rio de Janeiro",0.8,2.8,NA,110,13,0,0,1,5.9,1,0,0
"249",249,249,5165485,10,"Lar do Aconchego Quarto privado"," Zona Norte",14,NA,NA,82,13,1,1,1,8.6,0,0,0
"250",250,250,6874408,10,"Casa em Arraial do Cabo"," Rio de JaneiroMostrar no mapa",118,0.7,NA,0,126,0,0,0,NA,1,0,0
"251",251,251,1902456,10,"Hotel Itaoka (Adults Only)"," Zona Norte",9,NA,3,38,28,1,1,0,7,0,0,0
"252",252,252,1879651,10,"Hospedagem Municipal"," Centro do Rio de Janeiro",0.8,2.8,NA,134,13,0,0,1,6.3,1,0,0
"253",253,253,3041359,10,"COPACABANA, MIRANTE DO AZUL MAR"," Copacabana",6,0,NA,36,46,0,0,1,8.4,0,0,1
"254",254,254,734469,10,"Le House Hostel"," Leme",6,0.4,NA,209,21,0,0,1,7,0,0,1
"255",255,255,1057544,10,"Te Adoro Hotel (Adult Only)"," Zona Norte",7,NA,NA,86,31,1,1,0,7.8,0,0,0
"256",256,256,5918862,10,"Kitnet Aconchegante Em Benfica"," Zona Norte",6,NA,NA,11,10,0,0,0,8.8,0,0,0
"257",257,257,4110960,10,"Paradiso All suítes"," Barra da Tijuca",18,NA,NA,41,28,0,0,1,7,0,1,0
"258",258,258,1055711,10,"Ipanema Vinicius de Moraes"," Ipanema",9,0.35,3,78,39,0,0,0,8.1,0,0,1
"259",259,259,2199300,10,"Apartamento Olof"," Barra da Tijuca",25,NA,4,0,126,0,0,0,NA,0,1,0
"260",260,260,4422880,10,"Apt. Av. Atlantica, 1480"," Copacabana",7,0.8,3,12,63,0,0,1,9.1,0,0,1
"261",261,261,1851957,10,"Copacabana Praia Rio"," Copacabana",7,0,3,25,55,0,0,0,8.8,0,0,1
"262",262,262,1267496,10,"Apartamento Figueiredo Magalhães"," Copacabana",7,0,3,26,45,0,0,0,8.8,0,0,1
"263",263,263,1911983,10,"Jumbo Hotel (Adults Only)"," Zona Norte",17,NA,NA,34,23,1,1,0,6.8,0,0,0
"264",264,264,503505,10,"Pousada Barra da Tijuca"," Barra da Tijuca",17,2.2,3,148,28,1,1,1,8.1,0,1,0
"265",265,265,1379923,10,"Le Chateau Lapa Boutique Hotel"," Centro do Rio de Janeiro",1.4,2,NA,0,90,1,1,0,NA,1,0,0
"266",266,266,5408516,10,"Apart Hotel Rio Stay"," Jacarepaguá",25,NA,3,22,39,0,0,1,7.1,0,1,0
"267",267,267,6774261,10,"Big Waves Hospedagem"," Rio de JaneiroMostrar no mapa",67,0,NA,0,20,0,0,1,NA,1,0,0
"268",268,268,2031739,10,"Hotel Ordenes (Adult Only)"," Centro do Rio de Janeiro",1.1,2.3,NA,203,11,0,0,1,6.3,1,0,0
"269",269,269,6820618,11,"Incrível Apart Copacabana"," Copacabana",7,1,NA,0,82,0,0,0,NA,0,0,1
"270",270,270,1905137,11,"Magnus Norte Hotel (Adult Only)"," Zona Norte",8,NA,NA,66,34,1,1,0,7.2,0,0,0
"271",271,271,777102,11,"Pousada da Gigoia - Barra da Tijuca"," Barra da Tijuca",17,0,3,84,31,1,1,1,9.1,0,1,0
"272",272,272,2155546,11,"Ibis Budget Rio de Janeiro Centro"," Centro do Rio de Janeiro",0.8,2.6,2,293,30,0,0,0,8.2,1,0,0
"273",273,273,1689028,11,"Cliffside"," Joatinga",17,0.45,NA,88,213,1,1,1,9.7,0,1,0
"274",274,274,1275592,11,"Rio Boutique Suites"," Cosme Velho",4.6,1.8,NA,45,44,0,0,1,9.2,0,0,1
"275",275,275,6680572,11,"Surf Club Longboard Paradise Hostel"," Recreio dos Bandeirantes",33,0.75,NA,5,40,0,0,1,9.8,0,1,0
"276",276,276,358167,11,"Pompeu Rio Hotel"," Centro do Rio de Janeiro",0.9,NA,3,391,19,1,1,0,6.7,1,0,0
"277",277,277,1079364,11,"Rio Surf House Hostel e Pousada"," Recreio dos Bandeirantes",33,0.95,NA,80,21,0,0,1,7.5,0,1,0
"278",278,278,189038,11,"Hotel Ducasse"," Copacabana",9,0.8,3,675,27,1,1,1,5.5,0,0,1
"279",279,279,4636724,11,"RESIDENTE SERVICE DE FRENTE PARA O MAR - AV. VIEIRA SOUTO 510"," Ipanema",9,0,4,23,201,0,0,1,7.8,0,0,1
"280",280,280,6884244,11,"Lindo Apartamento em Copacabana"," Copacabana",7,1.3,NA,0,63,0,0,0,NA,0,0,1
"281",281,281,488013,11,"Studio Copacabana"," Copacabana",9,0.65,3,18,63,0,0,0,8.6,0,0,1
"282",282,282,5578154,11,"Casa Longboard Hostel"," Recreio dos Bandeirantes",33,0,NA,51,27,0,0,1,9.2,0,1,0
"283",283,283,2863463,11,"GuestHouse Casa da Montanha"," Rio de JaneiroMostrar no mapa",16,NA,NA,68,26,0,0,1,9,1,0,0
"284",284,284,696303,11,"Pouso Verde Bed and Breakfast"," Jardim Botânico",8,2.6,3,63,35,1,1,1,9.6,0,0,1
"285",285,285,6830957,11,"BEACH HOUSE"," Barra da Tijuca",20,NA,NA,0,137,0,0,0,NA,0,1,0
"286",286,286,482500,11,"Rio Panoramic"," Santa Teresa",2.5,1.8,4,118,80,1,1,1,9.2,1,0,0
"287",287,287,5645974,11,"Hotel Verlaine adult only"," Gamboa",1.2,NA,NA,19,18,1,1,1,5.9,1,0,0
"288",288,288,5770908,11,"Rio Stay"," Jacarepaguá",25,NA,4,20,22,0,0,1,6.7,0,1,0
"289",289,289,538483,11,"Pousada Guanabara Garden"," Ilha do Governador",10,NA,3,383,39,1,1,1,8.3,0,0,0
"290",290,290,6866285,11,"TEMPORADA PRAIA COPACABANA"," Copacabana",7,1,NA,0,63,0,0,0,NA,0,0,1
"291",291,291,5841022,11,"New Star"," Rio de JaneiroMostrar no mapa",27,NA,NA,5,24,0,0,0,5.8,1,0,0
"292",292,292,622862,11,"Apartamento Ipanema Posto 9"," Ipanema",9,0,3,19,122,0,0,1,8.1,0,0,1
"293",293,293,3556450,11,"Apartamento no Leme 2 qts"," Leme",6,0,NA,11,62,0,0,0,8.7,0,0,1
"294",294,294,1103150,12,"Massape Rio Hostel"," Centro do Rio de Janeiro",1.1,2.4,NA,585,15,0,0,1,7.4,1,0,0
"295",295,295,363846,12,"Motel Comodoro (Adult Only)"," Zona Norte",17,NA,NA,60,16,0,0,0,7.3,0,0,0
"296",296,296,14038,12,"Mama Ruisa Boutique Hotel"," Santa Teresa",2.4,1.5,4,157,161,0,0,1,9.5,1,0,0
"297",297,297,1057314,12,"Nosso Hotel (Adult Only)"," Leblon",11,0.15,NA,73,35,1,1,1,7.2,0,0,1
"298",298,298,6827659,12,"Praia da Figueira"," Rio de JaneiroMostrar no mapa",103,2.8,NA,0,114,0,0,0,NA,1,0,0
"299",299,299,1550306,12,"Village Potira"," Rio de JaneiroMostrar no mapa",21,NA,NA,159,16,0,0,0,8.6,1,0,0
"300",300,300,1034222,12,"Hotel São Cristóvão"," Zona Norte",4,NA,2,120,19,0,0,0,5.2,0,0,0
"301",301,301,2804743,12,"Copa Residencial Belo"," Copacabana",7,0,3,3,75,0,0,1,8.1,0,0,1
"302",302,302,3463504,12,"Nacif's Suites"," Rio de JaneiroMostrar no mapa",21,0,NA,45,16,0,0,1,9.1,1,0,0
"303",303,303,5945452,12,"Planet Hostel"," Recreio dos Bandeirantes",33,0.95,NA,24,24,1,1,1,9.5,0,1,0
"304",304,304,1535225,12,"Apartamento Coração de Copacabana"," Copacabana",7,0.45,3,29,86,0,0,0,8.4,0,0,1
"305",305,305,1300596,12,"Gávea BNB"," Gávea",9,1.6,3,86,48,1,1,1,9.8,0,0,1
"306",306,306,5126829,12,"Casa Charme da Colina"," Rio de JaneiroMostrar no mapa",18,NA,3,4,116,0,0,1,9.7,1,0,0
"307",307,307,6856527,12,"Condomínio Casa com Piscina - Araruama"," Rio de JaneiroMostrar no mapa",88,NA,NA,0,57,0,0,0,NA,1,0,0
"308",308,308,6810000,12,"Ipanema - Visconde de Pirajá"," Ipanema",9,0.3,NA,0,94,0,0,0,NA,0,0,1
"309",309,309,330719,12,"OYO Hotel Barão De Tefé"," Centro do Rio de Janeiro",1,NA,2,110,16,0,0,0,5.3,1,0,0
"310",310,310,1782699,12,"Hangar Rio Hostel"," Ilha do Governador",10,NA,NA,252,22,0,0,1,8,0,0,0
"311",311,311,6866582,12,"Meu lar"," Rio de JaneiroMostrar no mapa",157,NA,NA,0,72,0,0,0,NA,1,0,0
"312",312,312,4380581,12,"Copacabana-Rodolfo Dantas"," Copacabana",7,0.001,3,0,94,0,0,1,NA,0,0,1
"313",313,313,6855645,12,"Casa veraneio em Unamar"," Rio de JaneiroMostrar no mapa",121,NA,NA,0,32,0,0,0,NA,1,0,0
"314",314,314,1275103,12,"Hostel New Ipanema"," Ipanema",9,0.45,NA,119,19,0,0,1,8.1,0,0,1
"315",315,315,6886798,12,"Vista Linda Lagoa"," Barra da Tijuca",17,2.2,NA,0,28,0,0,0,NA,0,1,0
"316",316,316,2970278,12,"Hostel Quebra Mar"," Barra da Tijuca",17,0,NA,54,52,0,0,1,8.3,0,1,0
"317",317,317,4197487,12,"LineRio Copacabana Residence #245"," Copacabana",6,0.6,4,0,76,0,0,0,NA,0,0,1
"318",318,318,5650015,12,"Laguna Hostel"," Joatinga",17,0.45,NA,21,35,0,0,1,8.5,0,1,0
"319",319,319,6863802,13,"Cantinho do sossego"," Rio de JaneiroMostrar no mapa",137,2.7,NA,0,13,0,0,0,NA,1,0,0
"320",320,320,1055750,13,"Sweet Rio Residence Taquara"," Rio de JaneiroMostrar no mapa",22,NA,NA,41,25,0,0,1,9.7,1,0,0
"321",321,321,5009206,13,"Hospedagem em JACAREPAGUÁ - HOSTEL MATTOS"," Rio de JaneiroMostrar no mapa",20,NA,NA,13,31,1,1,1,9.6,1,0,0
"322",322,322,4615880,13,"Quarto perto do Maracanã"," Zona Norte",6,NA,NA,12,10,0,0,1,9.3,0,0,0
"323",323,323,6897684,13,"Pousada Barra Sol"," Barra da Tijuca",18,2.8,NA,0,28,1,1,1,NA,0,1,0
"324",324,324,6832424,13,"Quarto , Recreio dos Bandeirantes Em Apartamento compartilhado"," Recreio dos Bandeirantes",29,2.8,NA,0,28,0,0,1,NA,0,1,0
"325",325,325,6664714,13,"LemeHarmony by Moriah Apartments"," Leme",6,0.25,4,0,107,0,0,0,NA,0,0,1
"326",326,326,1926006,13,"Hostel 68"," Recreio dos Bandeirantes",34,1.2,NA,49,14,1,1,1,7.7,0,1,0
"327",327,327,1034851,13,"Alfa Park Mar da Barra"," Barra da Tijuca",22,0,3,19,267,0,0,0,9.3,0,1,0
"328",328,328,6829254,13,"Aconchegante apto 809"," Copacabana",8,0.45,NA,0,36,0,0,0,NA,0,0,1
"329",329,329,6851319,13,"RANCHO COPACABANA - SUITE CANÁRIO"," Copacabana",7,0.65,NA,0,15,0,0,1,NA,0,0,1
"330",330,330,6812521,13,"Reserva Pontal"," Recreio dos Bandeirantes",33,0,4,0,86,0,0,0,NA,0,1,0
"331",331,331,2047513,13,"Pousada Recanto Barra da Tijuca"," Barra da Tijuca",17,2.2,3,56,22,0,0,1,8.1,0,1,0
"332",332,332,4706878,13,"Hostel Varandas do Maracanã"," Zona Norte",5,NA,NA,62,41,1,1,1,8.2,0,0,0
"333",333,333,4130065,13,"DS Hostel"," Zona Norte",4.3,NA,NA,174,16,0,0,1,9.3,0,0,0
"334",334,334,1181781,13,"Beach House Ilha da Gigóia"," Barra da Tijuca",17,2.2,NA,109,20,0,0,1,7.6,0,1,0
"335",335,335,6798796,13,"ap cido"," Leme",6,0.25,NA,0,89,0,0,0,NA,0,0,1
"336",336,336,3537505,13,"LineRio Copacabana Residence #189"," Copacabana",7,0.95,NA,3,55,0,0,0,5.1,0,0,1
"337",337,337,3046280,13,"Pousada Barra Green Village"," Rio de JaneiroMostrar no mapa",40,NA,3,34,33,0,0,1,8.1,1,0,0
"338",338,338,5495366,13,"Casa de Noca Paquetá"," Rio de JaneiroMostrar no mapa",17,NA,NA,15,44,1,1,1,8.2,1,0,0
"339",339,339,1866470,13,"Hostel Da Bruna - Botafogo"," Botafogo",6,1.4,NA,346,18,0,0,1,7.7,0,0,1
"340",340,340,4951169,13,"Flat da Danda"," Copacabana",7,0,3,5,39,0,0,1,8.6,0,0,1
"341",341,341,3647520,13,"Flat Botafogo"," Botafogo",5,0.45,3,18,25,0,0,0,9.6,0,0,1
"342",342,342,330691,13,"Estalagem Motel (Adult Only)"," Vidigal",11,0.35,NA,20,21,0,0,1,4.4,0,0,1
"343",343,343,556423,13,"Casa Cool Beans B&B"," Santa Teresa",2.6,2,4,78,47,1,1,0,9.5,1,0,0
"344",344,344,392186,14,"Hotel Malaga (Adult Only)"," Zona Norte",3.9,NA,NA,73,24,1,1,1,7.4,0,0,0
"345",345,345,1949030,14,"Mauá Rio Hostel"," Centro do Rio de Janeiro",0.45,NA,NA,217,24,0,0,1,7.4,1,0,0
"346",346,346,2294306,14,"Hostel Cidade Nova"," Rio de JaneiroMostrar no mapa",2.6,NA,NA,73,14,1,1,1,8,1,0,0
"347",347,347,2094020,14,"Reisnger Hostel"," Urca",5,0.45,NA,25,25,0,0,1,7.1,0,0,1
"348",348,348,6824742,14,"Lapa - conjugado lindo e aconchegante"," Centro do Rio de Janeiro",1.4,2.2,NA,0,27,0,0,0,NA,1,0,0
"349",349,349,6202403,14,"Family Hostel"," Recreio dos Bandeirantes",33,0.6,NA,0,25,0,0,1,NA,0,1,0
"350",350,350,6235605,14,"Casa Incrível em Santa Teresa, RJ"," Santa Teresa",2,2.5,NA,0,68,0,0,1,NA,1,0,0
"351",351,351,720492,14,"Maraca Hostel"," Zona Norte",6,NA,NA,191,20,0,0,1,7.7,0,0,0
"352",352,352,5414286,14,"Hostel Queiroz"," Rio de JaneiroMostrar no mapa",15,NA,3,16,22,0,0,1,7.3,1,0,0
"353",353,353,6837969,14,"Aconchego Carioca - Figueiredo de Magalhães 304"," Copacabana",7,0.7,NA,0,42,0,0,1,NA,0,0,1
"354",354,354,4302288,14,"Bem no Centro 1 Smart TV"," Centro do Rio de Janeiro",1.4,2.8,3,16,24,0,0,0,9.2,1,0,0
"355",355,355,6882244,14,"Bela Vista do Morro"," Rio de JaneiroMostrar no mapa",40,NA,NA,0,5,0,0,0,NA,1,0,0
"356",356,356,351788,14,"Hotel Paraguai (Adult Only)"," Centro do Rio de Janeiro",1.6,2.8,NA,67,31,1,1,1,7.8,1,0,0
"357",357,357,5395040,14,"Casa de Campo da Jeanne - Alugue um ou dois quartos"," Rio de JaneiroMostrar no mapa",38,NA,NA,3,68,0,0,1,8.7,1,0,0
"358",358,358,5882700,14,"OYO Hotel Bariloche"," Zona Norte",4,NA,2,13,21,0,0,0,5.4,0,0,0
"359",359,359,2479081,14,"Hostel Bless"," Recreio dos Bandeirantes",35,0,NA,24,23,0,0,1,7.9,0,1,0
"360",360,360,2707617,14,"Pousada terraco Rio Centro"," Rio de JaneiroMostrar no mapa",26,NA,3,20,22,1,1,1,8.7,1,0,0
"361",361,361,2240271,14,"Motel Skorpios ( Adults only)"," Rio de JaneiroMostrar no mapa",18,1.9,NA,0,48,0,0,1,NA,1,0,0
"362",362,362,330699,14,"Lips Motel (Adult Only)"," Centro do Rio de Janeiro",1.1,2,NA,12,31,1,1,0,6.8,1,0,0
"363",363,363,2694510,14,"Quarto Suite na Gavea"," Gávea",9,1.7,NA,11,36,0,0,1,9.5,0,0,1
"364",364,364,1706418,14,"Hostel The Gypsies"," Ilha do Governador",10,0,NA,52,26,0,0,1,7.9,0,0,0
"365",365,365,6905821,14,"Apart. on Charitas Beach, RJ"," Rio de JaneiroMostrar no mapa",9,NA,NA,0,39,0,0,0,NA,1,0,0
"366",366,366,6899511,14,"Flat Barra First"," Barra da Tijuca",24,NA,NA,0,42,0,0,1,NA,0,1,0
"367",367,367,6904290,14,"Cozy apartment bedroom and living in Ipanema"," Rio de JaneiroMostrar no mapa",9,0.65,NA,0,76,0,0,0,NA,1,0,0
"368",368,368,6895088,14,"Apartamento Barra Olímpica"," Barra da Tijuca",23,NA,NA,0,65,0,0,0,NA,0,1,0
"369",369,369,6899831,15,"BarraFamily by Moriah Apartments"," Barra da Tijuca",18,NA,NA,0,NA,0,0,0,NA,0,1,0
"370",370,370,6880305,15,"Suíte Copa Luxo"," Copacabana",8,0.7,NA,0,38,0,0,0,NA,0,0,1
"371",371,371,1265806,15,"Super Quarto Copacabana/Ipanema"," Copacabana",9,0,3,0,57,0,0,0,NA,0,0,1
"372",372,372,6856647,15,"Shark casa pero"," Rio de JaneiroMostrar no mapa",122,0,NA,0,57,0,0,0,NA,1,0,0
"373",373,373,6847819,15,"Green garden pousada"," Rio de JaneiroMostrar no mapa",66,NA,3,0,40,0,0,0,NA,1,0,0
"374",374,374,6830781,15,"Lar Olivia"," Rio de JaneiroMostrar no mapa",23,NA,NA,0,390,0,0,0,NA,1,0,0
"375",375,375,6807942,15,"Flat em Copacabana"," Copacabana",6,0.7,NA,0,162,0,0,0,NA,0,0,1
"376",376,376,6854889,15,"Céu Verde Paraty"," Rio de JaneiroMostrar no mapa",161,0.85,NA,0,54,0,0,0,NA,1,0,0
"377",377,377,4443231,15,"Copacabana , lindo, todo Reformado!"," Copacabana",8,0.45,3,0,51,0,0,1,NA,0,0,1
"378",378,378,892641,15,"Leme Frontal Mar"," Leme",7,0,4,0,188,0,0,0,NA,0,0,1
"379",379,379,6618158,15,"Solar das Noivas - Fotos, Casamento e Núpcias!"," Cosme Velho",5,2.7,4,0,451,0,0,0,NA,0,0,1
"380",380,380,4632684,15,"(Brand-New) Welcome Rio - Ipanema Beach - Posto 9"," Ipanema",9,0.7,NA,6,185,0,0,1,9.5,0,0,1
"381",381,381,2940969,15,"Apartamento à 100m Praia Botafogo"," Flamengo",4.3,0.75,NA,0,61,0,0,0,NA,0,0,1
"382",382,382,6403796,15,"Parque Carioca"," Jacarepaguá",24,NA,NA,0,38,0,0,1,NA,0,1,0
"383",383,383,2389255,15,"Casa Guanabara (Hostel)"," Ilha do Governador",10,NA,NA,0,24,0,0,1,NA,0,0,0
"384",384,384,1987563,15,"Majestic"," Jacarepaguá",22,NA,NA,4,63,0,0,1,8.5,0,1,0
"385",385,385,1836356,15,"Quarto no Jardim Botânico"," Jardim Botânico",8,2.8,NA,0,39,0,0,1,NA,0,0,1
"386",386,386,6129314,15,"QUARTOS EM CASA FAMILIAR"," Zona Norte",7,NA,NA,0,50,0,0,1,NA,0,0,0
"387",387,387,1393723,15,"2 Bedroom Apartment Copacabana best location"," Copacabana",8,0.4,3,29,481,0,0,0,8.1,0,0,1
"388",388,388,4686345,15,"POUSADA CANTINHO DA BARRA DA TIJUCA"," Barra da Tijuca",17,2.4,NA,0,80,0,0,1,NA,0,1,0
"389",389,389,2485394,15,"Albergue cultural"," Jacarepaguá",25,NA,NA,16,51,0,0,1,7.6,0,1,0
"390",390,390,6906520,15,"Angra Inn, lazer e conforto"," Rio de JaneiroMostrar no mapa",119,NA,NA,0,49,0,0,1,NA,1,0,0
"391",391,391,1894000,15,"Aquarela do Leme"," Leme",6,0,NA,528,23,1,1,0,9.4,0,0,1
"392",392,392,349664,15,"Che Lagarto Hostel Copacabana"," Copacabana",7,0.9,NA,2235,17,0,0,0,7.7,0,0,1
"393",393,393,1906451,15,"Maracanã Hostel Vila Isabel"," Zona Norte",5,NA,NA,202,9,0,0,0,7.5,0,0,0
"394",394,394,1683041,16,"Casa del Mar Hostel"," Copacabana",7,0.8,NA,740,14,0,0,0,8.1,0,0,1
"395",395,395,5116821,16,"Brazilodge All Suites Leblon"," Leblon",10,0.5,NA,447,17,0,0,0,8.7,0,0,1
"396",396,396,463871,16,"Discovery Hostel"," Glória",2.1,1.1,NA,422,14,1,1,0,8.8,1,0,0
"397",397,397,313764,16,"Bamboo Rio Hostel"," Copacabana",7,0.9,NA,621,15,0,0,0,8,0,0,1
"398",398,398,2018267,16,"Pontal do Duque"," Recreio dos Bandeirantes",33,0.4,NA,267,20,0,0,0,8.1,0,1,0
"399",399,399,5787231,16,"Por el Mundo Hostel"," Centro do Rio de Janeiro",1.7,1.5,NA,76,14,0,0,0,9.3,1,0,0
"400",400,400,6886848,16,"IPA GALLERY HOSTEL"," Copacabana",9,0.65,NA,0,16,0,0,0,NA,0,0,1
"401",401,401,1765766,16,"Hostel by Hotel Galicia"," Centro do Rio de Janeiro",1.4,2.6,NA,421,9,0,0,0,6.8,1,0,0
"402",402,402,1005677,16,"Hostel República Rio de Janeiro"," Catete",2.8,0.75,NA,314,13,1,1,0,7.8,0,0,1
"403",403,403,331254,16,"Vidigal Hostel BAR"," Zona Sul",12,0,NA,50,10,0,0,0,7.5,0,0,1
"404",404,404,2063774,16,"Casa do Bill Recreio"," Recreio dos Bandeirantes",33,0.9,NA,90,16,1,1,0,8.7,0,1,0
"405",405,405,887813,16,"Tupiniquim Hostel Rio de Janeiro"," Botafogo",6,1.2,NA,213,12,0,0,0,7.9,0,0,1
"406",406,406,6018293,16,"Rio Nomad Guest House"," Botafogo",5,0.85,NA,11,14,0,0,0,7.7,0,0,1
"407",407,407,6810076,16,"Hostel Flazao"," Santa Teresa",2.1,1.3,NA,0,28,0,0,0,NA,1,0,0
"408",408,408,472376,16,"Mar da Babilônia Hostel"," Leme",6,0.65,NA,15,14,0,0,0,7.1,0,0,1
"409",409,409,2176523,16,"Apartamento Santa Teresa"," Santa Teresa",2.4,1.4,NA,4,35,0,0,0,7.4,1,0,0
"410",410,410,2138312,16,"Quarto compartilhado em Santa Teresa"," Santa Teresa",2.4,1.4,NA,9,22,0,0,0,7.7,1,0,0
"411",411,411,286707,0,"Hotel Atlântico Business Centro"," Centro do Rio de Janeiro",1.1,2,4,11525,18,1,1,0,8.1,1,0,0
"412",412,412,369429,3,"Atlantico Sul Hotel"," Recreio dos Bandeirantes",33,0,4,1633,66,1,1,0,8.7,0,1,0
"413",413,413,173163,3,"Augusto's Copacabana Hotel"," Copacabana",8,0.55,4,691,46,0,0,0,8.1,0,0,1
