"","X","h_hotelid","h_in_page","hotel_name","hotel_loc","h_dist_centro","h_dist_praia","h_num_stars","h_num_comments","h_prices","h_peq_almoco","h_canc_gratuito","h_quartos_restantes","h_score_medio"
"42",42,1769990,1,"Arena Ipanema Hotel"," Ipanema","9 km do centro"," A 150 m da praia",4,"1 517","€ 60",1,1,"1","8,8"
"43",43,1713387,1,"Best Western Premier Arpoador Fashion Hotel"," Ipanema","9 km do centro"," A 500 m da praia",4,"1 015","€ 59",1,1,"1","8,6"
"44",44,17968,1,"Hotel Nacional Inn Copacabana"," Copacabana","6 km do centro"," A 700 m da praia",3,"804","€ 33",1,1,"0","8,5"
"45",45,252326,1,"Hotel Pouso Real"," Centro do Rio de Janeiro","1,4 km do centro"," A 2,2 km da praia",3,"4 555","€ 13",1,1,"0","7,7"
"46",46,1385819,1,"Arena Leme Hotel"," Leme","6 km do centro"," Em frente à praia",4,"887","€ 49",1,1,"0","8,8"
"47",47,23335,1,"Hotel Bandeirantes"," Copacabana","7 km do centro"," A 600 m da praia",3,"2 825","€ 24",1,1,"1","8,1"
"48",48,1713389,1,"Vogue Square Fashion Hotel by Lenny Niemeyer"," Barra da Tijuca","24 km do centro"," A 2,7 km da praia",4,"1 444","€ 48",1,1,"0","8,7"
"49",49,1714741,1,"Best Western Plus Copacabana Design Hotel"," Copacabana","7 km do centro"," A 1 km da praia",3,"1 020","€ 36",1,1,"0","8,6"
"50",50,18977,2,"JANEIRO Hotel"," Leblon","10 km do centro"," Em frente à praia",5,"439","€ 214",0,0,"1","9,3"
"51",51,257009,2,"Hilton Copacabana Rio de Janeiro"," Copacabana","7 km do centro"," Em frente à praia",5,"646","€ 106",0,0,"0","8,5"
"52",52,19422,2,"Windsor Palace"," Copacabana","7 km do centro"," A 650 m da praia",4,"1 192","€ 64",1,1,"0","8,7"
"53",53,278050,2,"Hotel Viña Del Mar"," Centro do Rio de Janeiro","1,6 km do centro"," A 1,6 km da praia",3,"1 333","€ 17",1,1,"0","7,4"
"54",54,189268,2,"Orla Copacabana Hotel"," Copacabana","9 km do centro"," Em frente à praia",4,"2 361","€ 48",0,0,"0","8,2"
"55",55,1592190,2,"Yoo2 Rio de Janeiro by Intercity"," Botafogo","4,7 km do centro"," Em frente à praia",5,"1 119","€ 74",1,1,"0","8,5"
"56",56,23405,2,"JW Marriott Rio de Janeiro"," Copacabana","8 km do centro"," Em frente à praia",5,"151","€ 116",0,1,"0","7,9"
"57",57,258121,2,"Scorial Rio Hotel"," Catete","3,2 km do centro"," A 900 m da praia",4,"1 060","€ 39",1,1,"1","8,7"
"58",58,19464,2,"Windsor Excelsior Copacabana"," Copacabana","7 km do centro"," Em frente à praia",4,"1 825","€ 62",1,1,"0","8,6"
"59",59,189230,2,"Américas Granada Hotel"," Centro do Rio de Janeiro","1,2 km do centro"," A 2,3 km da praia",4,"3 101","€ 26",1,1,"0","8,6"
"60",60,1793374,2,"Ibis Styles RJ Botafogo"," Botafogo","5 km do centro"," A 450 m da praia",3,"1 131","€ 38",0,0,"0","8,2"
"61",61,1475661,2,"Tropical Barra Hotel"," Barra da Tijuca","17 km do centro"," Em frente à praia",4,"1 992","€ 40",1,1,"1","8,4"
"62",62,2010891,2,"Petit Rio Hotel"," Catete","3 km do centro"," A 800 m da praia",3,"1 366","€ 32",1,1,"0","8,8"
"63",63,14626,2,"Copa Sul Hotel"," Copacabana","9 km do centro"," A 600 m da praia",3,"642","€ 35",1,1,"0","8,3"
"64",64,1305629,2,"Hilton Barra Rio de Janeiro"," Barra da Tijuca","21 km do centro","",5,"477","€ 113",0,0,"0","8,8"
"65",65,1115061,2,"Hotel Rio Lancaster"," Copacabana","7 km do centro"," Em frente à praia",3,"3 223","€ 35",1,1,"1","7,8"
